MySQL_Iteration,MySQL_Insert,MySQL_Select
1,3.956965208,0.492924929
2,4.002256155,0.697828531
3,3.97432065,0.928525686
4,4.423514128,1.18656683
5,4.118578911,1.418540955
6,4.280069351,3.543859005
7,4.090208292,5.080014944
8,4.287989378,5.993062735
9,4.099279165,6.925332069
10,4.154057503,7.720109463
11,4.144034386,8.598988771
12,4.02114296,9.80709219
13,3.904916048,10.79373622
14,4.018713474,11.77722216
15,4.107703447,12.56129265
16,3.883736849,13.79636645
17,3.61050272,14.20353007
18,3.969954491,14.58074975
19,4.294718981,16.02956271
20,3.698523998,17.14943457
21,4.151034594,18.25248694
22,3.938021421,19.55578065
23,3.92990613,19.88260031
24,4.018776894,21.10420036
25,3.9811306,22.06753016
26,3.944604874,23.27078176
27,4.01144886,24.13253307
28,3.842881203,24.52689195
29,4.045388222,25.69385529
30,4.173047304,25.92328572
31,4.023472309,28.47698069
32,3.976306438,28.29110551
33,3.945360422,29.28305173
34,4.076646805,30.57488823
35,4.185190201,31.50678134
36,4.031821728,32.08517957
37,4.116190672,33.17893338
38,4.069173336,34.70668888
39,4.130228996,35.46853638
40,3.981676579,36.26531196
41,4.200033426,37.98067498
42,3.946463108,38.44866204
43,3.987019062,39.80317593
44,4.059483767,40.13790488
45,4.091764212,41.30579376
46,3.98011899,42.19620347
47,4.188760996,43.06393147
48,4.1103971,45.10682583
49,4.015967369,46.32029724
50,3.907931805,45.13499427
51,3.940041304,47.82887983
52,3.950593948,53.38700628
53,5.707205772,92.68711448
54,4.227606297,49.58598423
55,3.420455694,52.2420783
56,3.967584372,51.74728703
57,3.909145832,53.20333481
58,3.977898836,55.33803582
59,3.87119174,56.82500052
60,3.982421637,56.88799715
61,4.106621027,57.96249747
62,3.931410313,57.5915792
63,3.777224779,59.12785745
64,3.951593399,60.57119036
65,4.091700315,60.57083249
66,3.781601191,62.64899826
67,3.982679129,63.5120728
68,4.12582922,65.10936737
69,3.788889647,66.36193824
70,4.14110446,66.63821507
71,3.977217674,67.53197956
72,4.132178307,67.72819853
73,3.956760645,69.65585589
74,3.962877274,70.36132813
75,4.055621147,69.45050359
76,4.010344267,72.90397549
77,3.806422234,73.45316029
78,4.033121347,74.25454545
79,4.225866079,75.16739869
80,4.390039682,78.51654792
81,3.901279211,81.9835186
82,4.25168395,78.6341238
83,3.631420135,78.96994948
84,4.363914728,80.14656353
85,4.117135048,80.75751376
86,4.168332338,86.08261371
87,3.742194414,77.11861944
88,3.991379738,83.47018933
89,3.875952244,87.36431646
90,3.849374771,85.92165756
91,3.724073648,88.3233633
92,4.034005642,88.18028522
93,3.474179029,90.03779006
94,4.007606983,93.34081292
95,4.105532169,92.39999485
96,4.188993692,94.06201863
97,4.071771622,91.40506244
98,4.021992445,91.27813983
99,4.111705303,95.36643481
100,3.638688326,95.02321267
