Iteration,Couchbase_Insert,Couchbase_Select
1,1.2516756057739258,4.7629852294921875
2,0.7303981781005859,7.318392992019653
3,0.5451793670654297,9.156571865081787
4,0.66733717918396,12.244778633117676
5,0.637667179107666,13.022513389587402
6,0.8060910701751709,16.68788480758667
7,0.7399685382843018,17.838480949401855
8,0.7737469673156738,20.427733421325684
9,0.682790994644165,22.024492979049683
10,0.9167966842651367,25.352747201919556
11,0.6226809024810791,26.31336736679077
12,0.7062084674835205,29.0121967792511
13,0.7056396007537842,32.09940457344055
14,0.7532262802124023,34.01603984832764
15,0.9298446178436279,35.87156891822815
16,0.7057993412017822,38.319600343704224
17,0.6228022575378418,41.291574478149414
18,0.7558517456054688,43.56888508796692
19,0.7672004699707031,44.20803618431091
20,0.7177577018737793,47.32347750663757
21,0.636754035949707,50.38380527496338
22,0.6491832733154297,52.074866771698
23,0.6429691314697266,54.353798389434814
24,0.6403744220733643,56.79121947288513
25,0.6562895774841309,57.209195137023926
26,0.9668266773223877,60.66983485221863
27,0.6544761657714844,62.548076152801514
28,0.8476297855377197,66.69370627403259
29,0.6667542457580566,66.47452211380005
30,0.6497452259063721,70.16920375823975
31,0.9059560298919678,73.23732924461365
32,0.757997989654541,75.32634496688843
33,0.5893268585205078,77.60788750648499
34,0.7512404918670654,77.54863595962524
35,0.7193825244903564,82.286696434021
36,0.8796498775482178,84.63238430023193
37,0.7276256084442139,86.60194730758667
38,0.7493777275085449,89.37446403503418
39,0.8379480838775635,91.16442465782166
40,0.6840546131134033,92.27414393424988
41,0.7397019863128662,94.73504877090454
42,0.6036999225616455,97.76068353652954
43,0.8466219902038574,99.75668025016785
44,0.7023556232452393,100.34261846542358
45,0.7744650840759277,106.48559236526489
46,0.6481144428253174,105.45401501655579
47,0.8131589889526367,108.8904755115509
48,0.6959385871887207,111.75697350502014
49,0.7675065994262695,113.80472230911255
50,0.7370688915252686,117.28802108764648
51,0.562920331954956,115.35304021835327
52,0.7438583374023438,122.02167844772339
53,0.8671691417694092,122.90594506263733
54,0.6624760627746582,123.32201766967773
55,0.685157299041748,125.59929704666138
56,0.6712346076965332,132.62037181854248
57,0.827484130859375,130.27501583099365
58,0.6600556373596191,133.12180256843567
59,0.8183550834655762,136.487322807312
60,0.706446647644043,136.05748915672302
61,0.7392451763153076,142.7322497367859
62,0.7361760139465332,144.41971015930176
63,0.5986034870147705,146.20750975608826
64,0.689018964767456,149.90827679634094
65,0.7252967357635498,150.5540177822113
66,0.6411423683166504,153.31304383277893
67,0.6165552139282227,156.6543185710907
68,0.67397141456604,156.47839307785034
69,0.6494357585906982,158.7441599369049
70,0.7667379379272461,162.5855679512024
71,0.8238880634307861,165.62525725364685
72,0.7102980613708496,167.54488611221313
73,0.8870570659637451,166.2255895137787
74,0.70076584815979,171.11211895942688
75,0.7424540519714355,172.8517951965332
76,0.6187152862548828,176.99126982688904
77,0.9061222076416016,181.51822209358215
78,0.6777482032775879,180.78809881210327
79,0.6486763954162598,182.6117286682129
80,0.7103598117828369,189.2433671951294
81,0.6958231925964355,188.88746452331543
82,0.9218323230743408,188.73057961463928
83,0.6510770320892334,190.71226596832275
84,0.7260138988494873,199.05379843711853
85,0.6330502033233643,198.72172164916992
86,0.8142304420471191,200.8165638446808
87,0.7433226108551025,201.1885952949524
88,0.9034786224365234,204.57249355316162
89,0.6807515621185303,205.5305347442627
90,0.6726152896881104,211.2585744857788
91,0.9729249477386475,210.02828931808472
92,0.7189033031463623,213.02364444732666
93,0.7037818431854248,212.3963053226471
94,0.6102125644683838,216.73351740837097
95,0.5636341571807861,218.5773413181305
96,0.6671891212463379,220.72713780403137
97,0.7227573394775391,225.32338786125183
98,0.741365909576416,225.56378316879272
99,0.6495685577392578,229.62022137641907
100,0.6290621757507324,230.23847842216492
